Name,Ticker,Frequency1,Frequency2,Frequency3
RATES,,,,
Federal Funds Effective Rate ,DFF,Daily,,
"Market Yield on U.S. Treasury Securities at 1-Month Constant Maturity, Quoted on an Investment Basis",GS1M,,,
,,,,
"Market Yield on U.S. Treasury Securities at 1-Year Constant Maturity, Quoted on an Investment Basis",GS1,,,
"Market Yield on U.S. Treasury Securities at 2-Year Constant Maturity, Quoted on an Investment Basis",DGS2,,,
"Market Yield on U.S. Treasury Securities at 5-Year Constant Maturity, Quoted on an Investment Basis",GS5,,,
"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Quoted on an Investment Basis",DGS10,,,
ICE BofA 1-3 Year US Corporate Index Option-Adjusted Spread,BAMLC1A0C13Y,,,
ICE BofA 3-5 Year US Corporate Index Option-Adjusted Spread,BAMLC2A0C35Y,,,
ICE BofA 5-7 Year US Corporate Index Option-Adjusted Spread,BAMLC3A0C57Y,,,
ICE BofA 7-10 Year US Corporate Index Option-Adjusted Spread,BAMLC4A0C710Y,,,
ICE BofA AAA US Corporate Index Option-Adjusted Spread,BAMLC0A1CAAA,,,
ICE BofA AA US Corporate Index Option-Adjusted Spread,BAMLC0A2CAA,,,
ICE BofA BBB US Corporate Index Option-Adjusted Spread,BAMLC0A4CBBB,,,
ICE BofA BB US High Yield Index Option-Adjusted Spread,BAMLH0A1HYBB,,,
ICE BofA CCC & Lower US High Yield Index Option-Adjusted Spread,BAMLH0A3HYC,,,
ICE BofA Single-A US Corporate Index Option-Adjusted Spread,BAMLC0A3CA,,,
ICE BofA Single-B US High Yield Index Option-Adjusted Spread,BAMLH0A2HYB,,,
ICE BofA US Corporate Index Option-Adjusted Spread,BAMLC0A0CM,,,
ICE BofA US High Yield Index Option-Adjusted Spread,BAMLH0A0HYM2,,,
Moody's Seasoned Aaa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,AAA10Y,,,
Moody's Seasoned Aaa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,AAA10YM,,,
Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,BAA10Y,,,
Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,BAA10YM,,,
,,,,
ECONOMICS,,,,
Unemployment Rate,UNRATE,,,
S&P/Case-Shiller U.S. National Home Price Index,CSUSHPISA,,,
